origin_date,model,horizon,mae,rmse,mape,smape
2025-12-05,lstm_finetuned,H+1,106575.875,106575.875,6.726151782896812,6.9602295860962755
2025-12-05,lstm_finetuned,H+3,386258.0520833333,452204.1044537428,33.39541999128994,44.91015927650327
2025-12-05,lstm_finetuned,H+7,426580.78878348216,480342.0369224523,47.87511456543084,71.68724366279687
2025-12-16,naive,H+1,30000.0,30000.0,5.617977528089887,5.46448087431694
2025-12-16,naive,H+3,93166.66666666667,131057.55733010337,25.22117456964354,19.796705184918817
2025-12-16,naive,H+7,477285.71428571426,617223.5066350414,90.19982949815873,63.991945029907114
2025-12-16,seasonal_naive,H+1,1050500.0,1050500.0,196.72284644194758,99.17394382818031
2025-12-16,seasonal_naive,H+3,804666.6666666666,837156.7953495928,178.54171123547962,90.13092398891374
2025-12-16,seasonal_naive,H+7,863571.4285714285,929087.109555857,266.1294354080901,92.9162372894786
2025-12-16,moving_average_7,H+1,532285.7142857143,532285.7142857143,99.67897271268058,66.52383502945904
2025-12-16,moving_average_7,H+3,578119.0476190477,587917.530023424,131.186097111094,75.7399635408218
2025-12-16,moving_average_7,H+7,541612.244897959,595328.0351098502,180.87191651614333,67.47939944370465
2025-12-16,lstm_global,H+1,807464.125,807464.125,151.21051029962547,86.10819201886893
2025-12-16,lstm_global,H+3,477991.9270833333,541548.3885982402,103.96878985719033,67.43393391329117
2025-12-16,lstm_global,H+7,906713.9436383928,1006856.1702168374,267.2517776497468,113.36551300587941
2025-12-16,lstm_finetuned,H+1,807464.125,807464.125,151.21051029962547,86.10819201886893
2025-12-16,lstm_finetuned,H+3,477991.9270833333,541548.3885982402,103.96878985719033,67.43393391329117
2025-12-16,lstm_finetuned,H+7,906713.9436383928,1006856.1702168374,267.2517776497468,113.36551300587941
2026-02-12,naive,H+1,146500.0,146500.0,9.213836477987421,8.808056515857508
2026-02-12,naive,H+3,421666.6666666667,532149.5717058002,42.494171744824726,30.44615077552698
2026-02-12,naive,H+7,1105642.857142857,1272305.1211987522,837.524715042141,112.83574780032963
2026-02-12,seasonal_naive,H+1,1056000.0,1056000.0,66.41509433962264,99.43502824858757
2026-02-12,seasonal_naive,H+3,826666.6666666666,857109.1917991935,62.44143023026756,90.90846855749675
2026-02-12,seasonal_naive,H+7,919285.7142857143,1033065.9638736947,472.6404808768126,115.1111599694046
2026-02-12,moving_average_7,H+1,748428.5714285715,748428.5714285715,47.07097933513028,61.55925033781799
2026-02-12,moving_average_7,H+3,473261.90476190485,573896.5232406929,30.942111328307153,39.8567831776945
2026-02-12,moving_average_7,H+7,616367.3469387756,663863.4679522836,380.88058526945696,103.39460553342457
2026-02-12,lstm_global,H+1,461928.625,461928.625,29.052114779874216,33.98944039870918
2026-02-12,lstm_global,H+3,565835.5729166666,697376.1990719673,39.31683471393,55.91519903231815
2026-02-12,lstm_global,H+7,560204.4430803572,733460.0691093794,349.42962610679416,96.94739533819788
2026-02-12,lstm_finetuned,H+1,461928.625,461928.625,29.052114779874216,33.98944039870918
2026-02-12,lstm_finetuned,H+3,565835.5729166666,697376.1990719673,39.31683471393,55.91519903231815
2026-02-12,lstm_finetuned,H+7,560204.4430803572,733460.0691093794,349.42962610679416,96.94739533819788
2026-02-25,naive,H+1,36500.0,36500.0,42.69005847953216,35.18072289156626
2026-02-25,naive,H+3,62000.0,65682.31624011646,138.2829558041782,72.08523979130254
2026-02-25,naive,H+7,47214.28571428572,53293.32576813509,89.29016245471716,51.96460294683557
2026-02-25,seasonal_naive,H+1,1504500.0,1504500.0,1759.6491228070174,179.58818263205015
2026-02-25,seasonal_naive,H+3,1254833.3333333333,1291193.8597024588,2204.94094002583,183.02768809679105
2026-02-25,seasonal_naive,H+7,555785.7142857143,845796.1802771568,972.2947855834034,97.71516617732854
2026-02-25,moving_average_7,H+1,545357.1428571428,545357.1428571428,637.844611528822,152.25845049356866
2026-02-25,moving_average_7,H+3,570857.1428571428,571268.8020692947,1132.15167778835,165.62244984367382
2026-02-25,moving_average_7,H+7,551357.1428571428,552293.9684181064,861.2108948205151,155.95320586390292
2026-02-25,lstm_global,H+1,704883.875,704883.875,824.4255847953216,160.9537280270173
2026-02-25,lstm_global,H+3,577044.53125,590710.2359945007,1129.7051248842138,165.04411556487906
2026-02-25,lstm_global,H+7,551054.6356026785,625157.3649436771,837.8888806677315,156.57955271704012
2026-02-25,lstm_finetuned,H+1,704883.875,704883.875,824.4255847953216,160.9537280270173
2026-02-25,lstm_finetuned,H+3,577044.53125,590710.2359945007,1129.7051248842138,165.04411556487906
2026-02-25,lstm_finetuned,H+7,551054.6356026785,625157.3649436771,837.8888806677315,156.57955271704012
2026-03-06,naive,H+1,3500.0,3500.0,4.216867469879518,4.129793510324483
2026-03-06,naive,H+3,22166.666666666668,36429.15499065732,90.76732461761942,39.55841601859301
2026-03-06,naive,H+7,179500.0,406754.7084633967,106.89316234402403,69.69826238027814
2026-03-06,seasonal_naive,H+1,2500.0,2500.0,3.0120481927710845,2.967359050445104
2026-03-06,seasonal_naive,H+3,12000.0,15138.251770487457,23.21120665172064,22.70228306331175
2026-03-06,seasonal_naive,H+7,186214.2857142857,407862.24039846734,105.94399219816346,72.45889261291019
2026-03-06,moving_average_7,H+1,3500.0,3500.0,4.216867469879518,4.3076923076923075
2026-03-06,moving_average_7,H+3,22166.666666666668,32645.82668581085,83.53574178647932,40.493097108373746
2026-03-06,moving_average_7,H+7,177500.0,408988.25515794806,95.97945981294555,67.2857008739569
2026-03-06,lstm_global,H+1,471120.3125,471120.3125,567.6148343373494,147.89053284186414
2026-03-06,lstm_global,H+3,451523.6458333333,458131.9308248538,1082.5067270527195,155.12355587333474
2026-03-06,lstm_global,H+7,445228.73214285716,507691.02038400306,1081.6227088981411,149.3592724839802
2026-03-06,lstm_finetuned,H+1,471120.3125,471120.3125,567.6148343373494,147.89053284186414
2026-03-06,lstm_finetuned,H+3,451523.6458333333,458131.9308248538,1082.5067270527195,155.12355587333474
2026-03-06,lstm_finetuned,H+7,445228.73214285716,507691.02038400306,1081.6227088981411,149.3592724839802
2026-03-31,naive,H+1,383500.0,383500.0,24.87836522867337,28.412669012780146
2026-03-31,naive,H+3,487000.0,493128.95541294944,29.445268756912053,34.62066654728408
2026-03-31,naive,H+7,394214.28571428574,415199.650770566,24.83378367096372,28.681936316177882
2026-03-31,seasonal_naive,H+1,1458500.0,1458500.0,94.61563412260784,179.56294244382886
2026-03-31,seasonal_naive,H+3,1580666.6666666667,1583854.317795674,96.02068162467424,184.8157518545228
2026-03-31,seasonal_naive,H+7,1339071.4285714286,1392067.668203361,86.66553223691353,164.1434792761777
2026-03-31,moving_average_7,H+1,1328357.142857143,1328357.142857143,86.17302256614614,151.4105434561368
2026-03-31,moving_average_7,H+3,1431857.142857143,1433953.2922022557,87.01361226070969,154.03571058060496
